age,salary
56,313619.0
46,257500.0
32,183879.0
60,306382.0
25,137654.0
38,206821.0
56,273070.0
36,196776.0
40,220735.0
28,165713.0
28,144146.0
41,216595.0
53,282417.0
57,324164.0
41,237961.0
20,114333.0
39,222777.0
19,104225.0
41,210532.0
61,318187.0
47,254635.0
55,295625.0
19,130355.0
38,195650.0
50,282398.0
29,182530.0
39,230223.0
61,341772.0
42,225155.0
44,249561.0
59,329228.0
45,247929.0
33,183383.0
32,166275.0
64,362474.0
61,314176.0
20,133806.0
54,282663.0
24,150561.0
38,201815.0
26,151128.0
56,305737.0
35,200649.0
21,110194.0
42,221200.0
31,169765.0
26,156158.0
43,246062.0
19,106806.0
37,201969.0
45,223359.0
64,335759.0
24,150322.0
61,329012.0
25,135153.0
64,342746.0
52,269004.0
31,167238.0
34,204888.0
53,285147.0
57,304276.0
21,130492.0
19,120688.0
23,138634.0
59,323815.0
21,103360.0
46,252767.0
35,205164.0
43,238942.0
61,312572.0
51,277574.0
27,159739.0
53,282747.0
31,184586.0
48,251902.0
65,343567.0
32,191566.0
25,140092.0
31,170914.0
40,210355.0
57,299226.0
38,206182.0
33,184355.0
62,334598.0
35,208284.0
64,341033.0
41,232229.0
43,232599.0
42,230243.0
62,325271.0
58,306927.0
46,249929.0
32,178501.0
62,326914.0
18,96276.0
42,
24,137122.0
26,147502.0
41,226136.0
18,117514.0
61,315729.0
25,142810.0
41,196933.0
28,164772.0
34,205122.0
25,153932.0
52,269755.0
52,275202.0
50,271497.0
22,103558.0
59,309818.0
56,299626.0
58,304012.0
45,
24,130457.0
26,
25,162408.0
29,181195.0
51,293464.0
50,
65,342851.0
40,203284.0
41,217780.0
54,295429.0
52,276010.0
61,337319.0
57,305533.0
39,214515.0
44,231177.0
52,287581.0
18,100631.0
52,284499.0
54,290431.0
64,344221.0
31,189511.0
20,132968.0
18,109972.0
22,134149.0
43,247669.0
31,165302.0
56,306140.0
44,249954.0
26,158570.0
32,190844.0
32,
43,230320.0
59,301277.0
30,185897.0
49,274335.0
56,304391.0
49,261029.0
21,133657.0
47,252165.0
54,286087.0
40,223778.0
56,324454.0
62,310693.0
32,179438.0
60,317840.0
46,
53,294524.0
30,184982.0
49,274159.0
24,132476.0
39,221480.0
45,251485.0
19,112339.0
59,315187.0
62,344636.0
23,115624.0
45,263043.0
45,239204.0
61,323986.0
61,324363.0
37,
47,247473.0
28,
45,228709.0
42,227230.0
56,307686.0
50,270115.0
18,106405.0
44,242846.0
30,183240.0
58,320946.0
20,
56,308530.0
23,136288.0
25,136289.0
44,238104.0
26,148595.0
54,282980.0
50,280360.0
59,331576.0
61,319023.0
41,216150.0
32,180214.0
49,275475.0
49,245058.0
41,225648.0
58,317014.0
29,160735.0
56,305171.0
19,114210.0
20,127359.0
54,302260.0
34,192796.0
19,123308.0
19,96517.0
45,234330.0
40,219384.0
54,278546.0
49,260716.0
50,273424.0
18,
36,205545.0
19,125563.0
61,330512.0
43,235533.0
49,259534.0
23,149000.0
49,265716.0
21,107057.0
28,169011.0
34,195809.0
55,296034.0
41,228448.0
22,121698.0
51,270431.0
23,129867.0
39,229448.0
28,155299.0
65,335317.0
33,189113.0
50,254464.0
26,146326.0
23,141440.0
33,182475.0
46,243364.0
20,
37,197202.0
53,285319.0
36,
43,
20,116432.0
36,177820.0
37,215075.0
49,280832.0
24,122671.0
58,316877.0
50,287796.0
57,299119.0
56,304234.0
35,199843.0
57,302503.0
18,126699.0
28,150864.0
45,271810.0
42,253985.0
40,222307.0
48,289300.0
47,251365.0
59,302572.0
52,288812.0
24,148064.0
33,183523.0
43,251543.0
65,338775.0
19,130924.0
18,113681.0
65,348722.0
29,163174.0
22,137976.0
54,283102.0
49,257117.0
26,149810.0
58,310233.0
52,274689.0
36,199436.0
65,332368.0
33,189624.0
20,
37,209012.0
41,
50,270359.0
41,222556.0
28,148382.0
25,138792.0
53,279100.0
55,289661.0
57,313896.0
37,207333.0
52,268595.0
65,341521.0
42,237286.0
52,271398.0
42,252055.0
46,254780.0
35,200821.0
63,335979.0
35,197920.0
19,
52,278397.0
33,182982.0
58,320486.0
53,300347.0
50,285505.0
21,124201.0
50,266431.0
31,176555.0
38,198435.0
65,360830.0
37,225361.0
25,119982.0
24,133801.0
20,100339.0
34,183249.0
50,270936.0
65,326207.0
29,
39,199265.0
39,
63,332306.0
47,
55,287566.0
55,297080.0
62,346395.0
25,137975.0
44,240558.0
44,244746.0
51,263858.0
38,192699.0
47,253212.0
50,269994.0
45,253893.0
64,352813.0
50,255919.0
22,121400.0
65,339297.0
36,182506.0
21,135366.0
52,291922.0
34,207603.0
61,311962.0
45,236425.0
47,253778.0
46,264500.0
63,326210.0
23,136737.0
52,277921.0
58,305250.0
54,292373.0
41,222031.0
46,246324.0
63,339995.0
48,262475.0
52,286511.0
50,266057.0
38,208476.0
49,255594.0
40,223355.0
50,273057.0
20,115801.0
35,202147.0
42,218773.0
59,321217.0
48,272036.0
20,119799.0
57,
63,332880.0
41,222909.0
49,261712.0
64,332156.0
39,220506.0
40,217195.0
19,118910.0
44,249384.0
59,311627.0
19,124928.0
43,217413.0
34,187550.0
57,284787.0
50,249612.0
26,125253.0
60,333909.0
65,336681.0
56,291141.0
46,246174.0
59,299412.0
43,241838.0
52,285111.0
42,229869.0
41,222711.0
30,164271.0
24,141133.0
53,281025.0
62,313447.0
37,210996.0
18,110691.0
25,123780.0
63,324939.0
33,173577.0
31,159868.0
29,169314.0
40,225116.0
32,177164.0
45,245378.0
51,292742.0
19,109882.0
49,282797.0
40,214692.0
39,208923.0
42,230269.0
39,226425.0
39,219517.0
59,311222.0
23,132978.0
32,176031.0
60,331813.0
54,284975.0
50,276083.0
25,156224.0
61,327230.0
61,337052.0
22,142184.0
56,287620.0
21,133785.0
23,153055.0
62,340354.0
49,283747.0
47,254082.0
64,
52,263367.0
57,302965.0
33,184451.0
30,185564.0
59,317995.0
47,263803.0
36,186454.0
34,
36,
45,247391.0
43,243725.0
54,285262.0
43,240389.0
40,218937.0
26,163804.0
29,
18,116048.0
18,118866.0
64,329312.0
51,271348.0
49,259130.0
65,358312.0
42,217660.0
57,300048.0
62,324662.0
18,97209.0
33,190688.0
56,
22,134421.0
39,223702.0
46,239675.0
20,108186.0
29,179998.0
43,249731.0
33,177608.0
54,280337.0
39,208752.0
46,253630.0
31,167200.0
45,237522.0
22,136857.0
64,330379.0
47,258583.0
63,
22,138290.0
29,192379.0
33,171295.0
43,229217.0
43,230928.0
65,340440.0
38,211677.0
56,306065.0
53,280437.0
50,269860.0
47,251463.0
54,277438.0
40,208923.0
